,respondent_id,respondent_name,plant_name
536,42,The Dayton Power and Light Company,Killen
537,227,"Wolverine Power Supply Cooperative, Inc.",Burnips
538,119,Northern Indiana Public Service Company,Michgan City
539,145,Public Service Company of Colorado,Alamosa
540,36,"Consolidated Edison Company of New York, Inc.",59th St GT-1
541,170,Tampa Electric Company,Polk Unit 1
542,186,VIRGINIA ELECTRIC AND POWER COMPANY,Low Moor
543,27,"Duke Energy Ohio, Inc.",Beckjord CT
544,57,Georgia Power Company,HAMMOND
545,134,PacifiCorp,Carbon
546,177,UNION ELECTRIC COMPANY,Venice C.T.
547,45,"Duke Energy Carolinas, LLC",Allen
548,186,VIRGINIA ELECTRIC AND POWER COMPANY,Possum Point
549,150,"Puget Sound Energy, Inc.",FREDERICKSON
550,194,Wisconsin Power and Light Company,Riverside 1
551,85,National Grid Generation LLC,Glenwood
552,7,Arizona Public Service Company,Ocotillo 2
553,45,"Duke Energy Carolinas, LLC",Riverbend
554,122,NorthWestern Corporation,Colstrip 4
555,7,Arizona Public Service Company,Yucca 2
556,166,Southwestern Public Service Company,Moore County
557,62,Gulf Power Company,Scherer
558,44,DTE Electric Company,Putnam Peaker
559,41,Consumers Energy Company,Karn 3 & 4
560,88,Louisville Gas and Electric Company,Mill Creek
561,163,Southern Indiana Gas and Electric Company,AB Brown Turbine 4
562,164,Southwestern Electric Power Company,Lieberman
563,227,"Wolverine Power Supply Cooperative, Inc.",Gaylord
564,226,Deseret Generation & Transmission Cooperative,Hunter II (DGT Share
565,57,Georgia Power Company,HATCH
566,27,"Duke Energy Ohio, Inc.",Miami Fort 7-8 DEO
567,210,MidAmerican Energy Company,Neal #2
568,281,Interstate Power and Light Company,Burlington
569,2,ALABAMA POWER COMPANY,Theodore
570,132,Otter Tail Power Company,Solway
571,3,Alaska Electric Light and Power Company,Auke Bay
572,281,Interstate Power and Light Company,Prairie Creek 4
573,17,"Duke Energy Progress, LLC",L.V. Sutton
574,22,Cleco Power LLC,Rodemacher Unit 2
575,99,Mississippi Power Company,Greene County
576,6,Appalachian Power Company,Amos
577,177,UNION ELECTRIC COMPANY,Raccoon Creek CTG
578,45,"Duke Energy Carolinas, LLC",Lincoln
579,57,Georgia Power Company,MCMANUS 3 & 4
580,315,"Entergy Texas, Inc.",Roy S. Nelson Unit 6
581,186,VIRGINIA ELECTRIC AND POWER COMPANY,Mount Storm
582,100,"Entergy Mississippi, Inc.",Delta
583,182,KCP&L Greater Missouri Operations Company,Lake Road
584,134,PacifiCorp,Jim Bridger
585,19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,Coxsackie
586,155,San Diego Gas & Electric Company,Desert Star
587,194,Wisconsin Power and Light Company,Neenah Unit 1
588,79,Kansas City Power & Light Company,Osawatomie
589,155,San Diego Gas & Electric Company,Miramar
590,166,Southwestern Public Service Company,Jones Station
591,134,PacifiCorp,Hunter Unit No. 1
592,122,NorthWestern Corporation,Aberdeen #1
593,170,Tampa Electric Company,Big Bend CT 4
594,281,Interstate Power and Light Company,Whispering Willow
595,122,NorthWestern Corporation,Huron GT #2
596,432,"Black Hills/Colorado Electric Utility Company, LP",Generating Station
597,120,Northern States Power Company (Minnesota),A S King
598,281,Interstate Power and Light Company,Red Cedar
599,61,Green Mountain Power Corp,Wyman #95
600,177,UNION ELECTRIC COMPANY,Callaway
601,134,PacifiCorp,Gadsby Peakers
602,132,Otter Tail Power Company,Lake Preston
603,145,Public Service Company of Colorado,Rocky Mountain
604,36,"Consolidated Edison Company of New York, Inc.","Hudson Ave GT 3,4 &5"
605,186,VIRGINIA ELECTRIC AND POWER COMPANY,Remington
606,49,El Paso Electric Company,Rio Grande Unit 9
607,187,Avista Corporation,Boulder Park
608,57,Georgia Power Company,WANSLEY NO. 5
609,120,Northern States Power Company (Minnesota),Key City
610,148,Public Service Company of Oklahoma,COMANCHE
611,41,Consumers Energy Company,Campbell 3 (Total)
612,148,Public Service Company of Oklahoma,OKLAUNION
613,61,Green Mountain Power Corp,Stony Brook Int. #96
614,42,The Dayton Power and Light Company,Conesville
615,56,Florida Power & Light Company,Lauderdale
616,79,Kansas City Power & Light Company,Iatan 1 (100%)
617,403,"Cheyenne Light, Fuel and Power Company",WYGEN 2
618,150,"Puget Sound Energy, Inc.",GOLDENDALE
619,163,Southern Indiana Gas and Electric Company,A.B. Brown Turbine 3
620,95,"MDU Resources Group, Inc.",Glendive
621,44,DTE Electric Company,Hancock Peaker
622,120,Northern States Power Company (Minnesota),Wilmarth
623,227,"Wolverine Power Supply Cooperative, Inc.",Tower
624,108,"Nevada Power Company, d/b/a NV Energy",Lenzie 1 & 2
625,210,MidAmerican Energy Company,Walter Scott #1
626,454,"Entergy Louisiana, LLC",Sterlington
627,159,South Carolina Electric & Gas Company,Hardeeville Peaking
628,210,MidAmerican Energy Company,Coralville
629,159,South Carolina Electric & Gas Company,Coit Combined
630,70,Idaho Power Company,Jim Bridger
631,194,Wisconsin Power and Light Company,Nelson Dewey Unit 2
632,129,Old Dominion Electric Cooperative,Louisa
633,202,"Chugach Electric Association, Inc.",Southcentral Power
634,147,Public Service Company of New Mexico,San Juan
635,7,Arizona Public Service Company,Palo Verde 3
636,82,Kentucky Utilities Company,Green River
637,161,Southern California Edison Company,Mountainview 3 & 4
638,49,El Paso Electric Company,Newman
639,87,EL Investment Company,Ninemile 6
640,150,"Puget Sound Energy, Inc.",COLSTRIP 3 & 4
641,186,VIRGINIA ELECTRIC AND POWER COMPANY,Bellemeade
642,191,"Westar Energy, Inc.",Hutchinson
643,98,"ALLETE, Inc.",Rapids Non Rate-base
644,210,MidAmerican Energy Company,Electrifarm
645,210,MidAmerican Energy Company,Neal #4
646,119,Northern Indiana Public Service Company,Sugar Creek
647,8,"Entergy Arkansas, Inc.",White Bluff
648,73,Indiana Michigan Power Company,ROCKPORT UNIT 1 I&M
649,56,Florida Power & Light Company,Martin Solar
650,202,"Chugach Electric Association, Inc.",Beluga
651,177,UNION ELECTRIC COMPANY,Fairgrounds C.T.
652,89,Madison Gas and Electric Company,Portable Generators
653,44,DTE Electric Company,St. Clair Peaker
654,161,Southern California Edison Company,Center Peaker
655,159,South Carolina Electric & Gas Company,Boeing
656,82,Kentucky Utilities Company,Paddy's Run 13 CT
657,49,El Paso Electric Company,Palo Verde
658,454,"Entergy Louisiana, LLC",Buras
659,101,MONONGAHELA POWER COMPANY,Ft. Martin
660,17,"Duke Energy Progress, LLC",Blewett
661,170,Tampa Electric Company,Bayside Units 1 & 2
662,133,PACIFIC GAS AND ELECTRIC COMPANY,Humboldt Gen Station
663,1,AEP Generating Company,ROCKPORT UNIT 1 AEG
664,148,Public Service Company of Oklahoma,NORTHEASTERN 3&4
665,122,NorthWestern Corporation,Neal #4
666,57,Georgia Power Company,BOWEN
667,99,Mississippi Power Company,Watson
668,88,Louisville Gas and Electric Company,Zorn CT
669,169,"System Energy Resources, Inc.",Grand Gulf
670,70,Idaho Power Company,Langley Gulch
671,42,The Dayton Power and Light Company,O. H. Hutchings
672,56,Florida Power & Light Company,Martin 3 & 4
673,151,Rochester Gas and Electric Corporation,Beebee Station
674,166,Southwestern Public Service Company,Maddox Gas
675,58,"Golden Spread Electric Cooperative, Inc.",Elk Station
676,281,Interstate Power and Light Company,Louisa
677,144,"Duke Energy Indiana, LLC",CADIZ (HENRY COUNTY)
678,108,"Nevada Power Company, d/b/a NV Energy",Clark Peakers 11-22
679,1,AEP Generating Company,ROCKPORT UNIT 2 AEG
680,151,Rochester Gas and Electric Corporation,Station 3
681,79,Kansas City Power & Light Company,Iatan 2 (100%)
682,44,DTE Electric Company,Fermi 2
683,281,Interstate Power and Light Company,"Prairie Creek 1,3"
684,141,Portland General Electric Company,Boardman (PGE Share)
685,89,Madison Gas and Electric Company,West Campus
686,62,Gulf Power Company,Pea Ridge
687,163,Southern Indiana Gas and Electric Company,Northeast Turbines
688,159,South Carolina Electric & Gas Company,Hagood #4
689,281,Interstate Power and Light Company,Lime Creek
690,195,Wisconsin Public Service Corporation,Pulliam 7
691,454,"Entergy Louisiana, LLC",Calcasieu
692,57,Georgia Power Company,MCMANUS
693,85,National Grid Generation LLC,Far Rockaway
694,7,Arizona Public Service Company,Palo Verde 1
695,182,KCP&L Greater Missouri Operations Company,Ralph Green
696,27,"Duke Energy Ohio, Inc.",Beckjord 1-5 DEO
697,281,Interstate Power and Light Company,Dubuque
698,191,"Westar Energy, Inc.",Lawrence
699,157,Sierra Pacific Power Company d/b/a NV Energy,TRACY 4&5-PIÑON PINE
700,41,Consumers Energy Company,Campbell 3 (CECo)
701,41,Consumers Energy Company,Morrow
702,177,UNION ELECTRIC COMPANY,Goose Creek CTG
703,61,Green Mountain Power Corp,Rutland #201
704,195,Wisconsin Public Service Corporation,Weston-Common
705,454,"Entergy Louisiana, LLC",Ninemile Point
706,22,Cleco Power LLC,Teche
707,74,Indianapolis Power & Light Company,Harding Street
708,12,"Black Hills Power, Inc.",Wyodak-BHP 20% Share
709,159,South Carolina Electric & Gas Company,Coit #1 Peaking
710,8,"Entergy Arkansas, Inc.",Harvey Couch
711,281,Interstate Power and Light Company,Sutherland
712,99,Mississippi Power Company,Chevron
713,99,Mississippi Power Company,Daniel CC
714,95,"MDU Resources Group, Inc.",R.M. Heskett
715,45,"Duke Energy Carolinas, LLC",Dan River CC
716,130,Oklahoma Gas and Electric Company,MUSTANG
717,89,Madison Gas and Electric Company,Elm Road 2
718,51,The Empire District Electric Company,Iatan (1&2)
719,146,Public Service Company of New Hampshire,LOST NATION
720,55,"Duke Energy Florida, LLC",Univ. of Florida
721,61,Green Mountain Power Corp,McNeil #24
722,41,Consumers Energy Company,Jackson Gas Plant
723,144,"Duke Energy Indiana, LLC",MIAMI WABASH
724,63,"Entergy Gulf States Louisiana, L.L.C.",Big Cajun 2 Unit 3
725,87,EL Investment Company,Little Gypsy
726,27,"Duke Energy Ohio, Inc.",Beckjord 6 DEO
727,6,Appalachian Power Company,Glen Lyn
728,210,MidAmerican Energy Company,Moline
729,61,Green Mountain Power Corp,Berlin #5
730,170,Tampa Electric Company,Polk Units 4 & 5
731,89,Madison Gas and Electric Company,Wind Generators - WI
732,195,Wisconsin Public Service Corporation,"Weston W31, W32"
733,147,Public Service Company of New Mexico,Rio Bravo
734,288,"UNS Electric, Inc.",Black Mountain
735,108,"Nevada Power Company, d/b/a NV Energy",Clark 4
736,281,Interstate Power and Light Company,George Neal # 4
737,144,"Duke Energy Indiana, LLC",CONNERSVILLE
738,195,Wisconsin Public Service Corporation,Weston 1
739,98,"ALLETE, Inc.",Taconite Ridge
740,146,Public Service Company of New Hampshire,NEWINGTON
741,120,Northern States Power Company (Minnesota),Monticello
742,56,Florida Power & Light Company,St. Lucie
743,2,ALABAMA POWER COMPANY,PowerSouth
744,186,VIRGINIA ELECTRIC AND POWER COMPANY,Yorktown
745,147,Public Service Company of New Mexico,Four Corners (1)
746,210,MidAmerican Energy Company,Greater Des Moine
747,194,Wisconsin Power and Light Company,Sheboygan FallsUnit1
748,121,Northern States Power Company (Wisconsin),Wheaton
749,155,San Diego Gas & Electric Company,Cuyamaca
750,194,Wisconsin Power and Light Company,Edgewater Unit 5
751,44,DTE Electric Company,Monroe
752,44,DTE Electric Company,Wilmot Peaker
753,42,The Dayton Power and Light Company,W. C. Beckjord
754,2,ALABAMA POWER COMPANY,Greene County-Total
755,120,Northern States Power Company (Minnesota),Riverside
756,63,"Entergy Gulf States Louisiana, L.L.C.",Roy S. Nelson 3 & 4
757,89,Madison Gas and Electric Company,Blount Station
758,166,Southwestern Public Service Company,Harrington Station
759,147,Public Service Company of New Mexico,Palo Verde (1)
760,195,Wisconsin Public Service Corporation,Total - Pulliam
761,89,Madison Gas and Electric Company,Elm Road Total
762,150,"Puget Sound Energy, Inc.",FREDERICKSON  1
763,89,Madison Gas and Electric Company,Fitchburg - 2 Units
764,2,ALABAMA POWER COMPANY,Chickasaw
765,159,South Carolina Electric & Gas Company,Urquhart
766,195,Wisconsin Public Service Corporation,Plant Total-Weston
767,7,Arizona Public Service Company,West Phoenix 1
768,98,"ALLETE, Inc.",Cloquet
769,145,Public Service Company of Colorado,Zuni
770,100,"Entergy Mississippi, Inc.",Baxter Wilson
771,82,Kentucky Utilities Company,Ghent
772,122,NorthWestern Corporation,Yankton
773,454,"Entergy Louisiana, LLC",Willow Glen
774,82,Kentucky Utilities Company,Trimble County CT
775,17,"Duke Energy Progress, LLC",Smith Energy Complex
776,182,KCP&L Greater Missouri Operations Company,Jeffrey Ener Ctr 8%
777,132,Otter Tail Power Company,Hoot Lake
778,45,"Duke Energy Carolinas, LLC",Buzzard Roost
779,227,"Wolverine Power Supply Cooperative, Inc.",Hersey
780,45,"Duke Energy Carolinas, LLC",Marshall
781,45,"Duke Energy Carolinas, LLC",Oconee
782,144,"Duke Energy Indiana, LLC",GALLAGHER
783,187,Avista Corporation,Kettle Falls
784,195,Wisconsin Public Service Corporation,Weston 2
785,56,Florida Power & Light Company,Riviera
786,159,South Carolina Electric & Gas Company,Kapstone Generator
787,85,National Grid Generation LLC,West Babylon
788,134,PacifiCorp,Hunter - Total Plant
789,159,South Carolina Electric & Gas Company,Parr #3 & 4
790,79,Kansas City Power & Light Company,Iatan 2 (54.71%)
791,150,"Puget Sound Energy, Inc.",HOPKINS RIDGE
792,114,"Entergy New Orleans, Inc.",Michoud
793,2,ALABAMA POWER COMPANY,J H Miller
794,195,Wisconsin Public Service Corporation,Weston 3
795,133,PACIFIC GAS AND ELECTRIC COMPANY,Colusa Gen Station
796,161,Southern California Edison Company,Offsite Storage
797,454,"Entergy Louisiana, LLC",Louisiana Station
798,100,"Entergy Mississippi, Inc.",Independence
799,120,Northern States Power Company (Minnesota),Black Dog 3 & 4
800,82,Kentucky Utilities Company,Cane Run NGCC
801,82,Kentucky Utilities Company,Brown CT
802,176,Tucson Electric Power Company,North Loop
803,186,VIRGINIA ELECTRIC AND POWER COMPANY,Gravel Neck
804,161,Southern California Edison Company,McGrath Peaker
805,2,ALABAMA POWER COMPANY,Gorgas
806,6,Appalachian Power Company,Ceredo
807,159,South Carolina Electric & Gas Company,Urquhart #2 Peaking
808,226,Deseret Generation & Transmission Cooperative,Bonanza (DGT Share)
809,186,VIRGINIA ELECTRIC AND POWER COMPANY,Virginia City
810,17,"Duke Energy Progress, LLC",Mayo
811,134,PacifiCorp,Lake Side 2
812,182,KCP&L Greater Missouri Operations Company,Crossroads
813,432,"Black Hills/Colorado Electric Utility Company, LP",PUEBLO-Diesels
814,134,PacifiCorp,Hunter Unit No. 3
815,159,South Carolina Electric & Gas Company,Parr #1 & 2
816,129,Old Dominion Electric Cooperative,North Anna
817,315,"Entergy Texas, Inc.",Sabine
818,88,Louisville Gas and Electric Company,Trimble County
819,44,DTE Electric Company,Monroe Peaker
820,164,Southwestern Electric Power Company,Arsenal Hill
821,58,"Golden Spread Electric Cooperative, Inc.",Antelope Station
822,57,Georgia Power Company,MCDONOUGH NO. 4-6
823,133,PACIFIC GAS AND ELECTRIC COMPANY,Gateway Gen Station
824,2,ALABAMA POWER COMPANY,Barry
825,7,Arizona Public Service Company,Yucca 3
826,454,"Entergy Louisiana, LLC",Perryville
827,74,Indianapolis Power & Light Company,Harding St Gas Turb
828,454,"Entergy Louisiana, LLC",Waterford 1 & 2
829,210,MidAmerican Energy Company,Pleasant Hill
830,27,"Duke Energy Ohio, Inc.",Dicks Creek
831,281,Interstate Power and Light Company,Centerville
832,193,Wisconsin Electric Power Company,GERMANTOWN-TOTAL
833,150,"Puget Sound Energy, Inc.",FERNDALE
834,182,KCP&L Greater Missouri Operations Company,St. Joe Landfill
835,159,South Carolina Electric & Gas Company,Williams #1 Peaking
836,191,"Westar Energy, Inc.",Gordon Evans CTF
837,8,"Entergy Arkansas, Inc.",Lake Catherine
838,144,"Duke Energy Indiana, LLC",WABASH RIVER
839,146,Public Service Company of New Hampshire,SCHILLER
840,27,"Duke Energy Ohio, Inc.",Miami Fort 5
841,62,Gulf Power Company,Scholz
842,141,Portland General Electric Company,Beaver
843,171,Alcoa Power Generating Inc.,Unit 4
844,129,Old Dominion Electric Cooperative,Marsh Run
845,44,DTE Electric Company,Greenwood EC
846,108,"Nevada Power Company, d/b/a NV Energy","Sun Peak  3, 4, 5"
847,70,Idaho Power Company,Valmy
848,281,Interstate Power and Light Company,Lansing # 4
849,159,South Carolina Electric & Gas Company,Jasper
850,41,Consumers Energy Company,Cobb 1 & 3
851,186,VIRGINIA ELECTRIC AND POWER COMPANY,Surry
852,294,"Wabash Valley Power Association, Inc.",Gibson Unit 5
853,17,"Duke Energy Progress, LLC",Brunswick
854,73,Indiana Michigan Power Company,ROCKPORT TOTAL I&M
855,79,Kansas City Power & Light Company,Hawthorn 5
856,61,Green Mountain Power Corp,Colchester #16
857,166,Southwestern Public Service Company,Maddox Steam
858,85,National Grid Generation LLC,Northport
859,101,MONONGAHELA POWER COMPANY,Harrison
860,70,Idaho Power Company,Boardman
861,144,"Duke Energy Indiana, LLC",Edwardsport IGCC
862,134,PacifiCorp,Lake Side
863,44,DTE Electric Company,Belle River (Total)
864,148,Public Service Company of Oklahoma,RIVERSIDE 1 & 2
865,8,"Entergy Arkansas, Inc.",Independence
866,7,Arizona Public Service Company,West  Phoenix 1
867,195,Wisconsin Public Service Corporation,Fox Energy Center
868,7,Arizona Public Service Company,Saguaro 2
869,129,Old Dominion Electric Cooperative,Rock Springs
870,119,Northern Indiana Public Service Company,RM Schahfer
871,195,Wisconsin Public Service Corporation,Columbia 1 & 2
872,6,Appalachian Power Company,Clinch River
873,90,"Maine Electric Power Company, Inc.",None
874,192,Wheeling Power Company,MITCHELL-WPCO Share
875,177,UNION ELECTRIC COMPANY,Kinmundy
876,19,CENTRAL HUDSON GAS & ELECTRIC CORPORATION,South Cairo
877,176,Tucson Electric Power Company,Gila River
878,27,"Duke Energy Ohio, Inc.",Stuart DEO
879,177,UNION ELECTRIC COMPANY,Mexico C.T.
880,87,EL Investment Company,Acadia
881,89,Madison Gas and Electric Company,M34/Marinette
882,210,MidAmerican Energy Company,Ottumwa
883,210,MidAmerican Energy Company,Walter Scott #4
884,81,Kentucky Power Company,Mitchell- Total
885,130,Oklahoma Gas and Electric Company,SEMINOLE
886,159,South Carolina Electric & Gas Company,Cope
887,45,"Duke Energy Carolinas, LLC",Catawba
888,2,ALABAMA POWER COMPANY,Greene County
889,49,El Paso Electric Company,Copper
890,79,Kansas City Power & Light Company,LaCygne 2 (50%)
891,166,Southwestern Public Service Company,Cunningham Gas Turbs
892,145,Public Service Company of Colorado,Craig
893,122,NorthWestern Corporation,Aberdeen #2
894,95,"MDU Resources Group, Inc.",Heskett III
895,7,Arizona Public Service Company,Saguaro 3
896,159,South Carolina Electric & Gas Company,Williams Combined
897,145,Public Service Company of Colorado,"Cherokee 3,4"
898,141,Portland General Electric Company,Colstrip
899,41,Consumers Energy Company,Thetford
900,194,Wisconsin Power and Light Company,Rock River Unit 6
901,194,Wisconsin Power and Light Company,Columbia II (All)
902,1,AEP Generating Company,ROCKPORT TOTAL AEG
903,44,DTE Electric Company,River Rouge Peaker
904,150,"Puget Sound Energy, Inc.",MINT FARM
905,227,"Wolverine Power Supply Cooperative, Inc.",Campbell #3
906,454,"Entergy Louisiana, LLC",Roy S. Nelson 3 & 4
907,98,"ALLETE, Inc.",Laskin
908,58,"Golden Spread Electric Cooperative, Inc.",Mustang Station
909,148,Public Service Company of Oklahoma,NORTHEASTERN 1&2
910,194,Wisconsin Power and Light Company,Columbia I (WPL)
911,7,Arizona Public Service Company,Cholla 3
912,134,PacifiCorp,Hayden
913,41,Consumers Energy Company,Whiting
914,144,"Duke Energy Indiana, LLC",CAYUGA CT
915,44,DTE Electric Company,Trenton Channel PP
916,55,"Duke Energy Florida, LLC",Crystal River
917,130,Oklahoma Gas and Electric Company,MCCLAIN
918,44,DTE Electric Company,St. Clair PP
919,159,South Carolina Electric & Gas Company,Urquhart #3 Peaking
920,89,Madison Gas and Electric Company,Wind Generators - IA
921,79,Kansas City Power & Light Company,Iatan 1 (70%)
922,186,VIRGINIA ELECTRIC AND POWER COMPANY,North Anna
923,89,Madison Gas and Electric Company,Elm Road 1
924,79,Kansas City Power & Light Company,Hawthorn 7 & 8
925,159,South Carolina Electric & Gas Company,Parr Combined
926,63,"Entergy Gulf States Louisiana, L.L.C.",Willow Glen
927,186,VIRGINIA ELECTRIC AND POWER COMPANY,Northern Neck
928,144,"Duke Energy Indiana, LLC",WHEATLAND
929,210,MidAmerican Energy Company,Neal #1
930,8,"Entergy Arkansas, Inc.",Cecil Lynch
931,210,MidAmerican Energy Company,Merl Parr
932,195,Wisconsin Public Service Corporation,Pulliam 8
933,99,Mississippi Power Company,Sweatt CT
934,42,The Dayton Power and Light Company,Monument
935,56,Florida Power & Light Company,Port Everglades
936,191,"Westar Energy, Inc.",Tecumseh
937,162,SOUTHERN ELECTRIC GENERATING COMPANY,Ernest C. Gaston
938,55,"Duke Energy Florida, LLC",Bayboro
939,119,Northern Indiana Public Service Company,R.M Schahfer
940,132,Otter Tail Power Company,Jamestown
941,42,The Dayton Power and Light Company,Killen Bio (See (d))
942,108,"Nevada Power Company, d/b/a NV Energy","Harry Allen 5,6,7"
943,186,VIRGINIA ELECTRIC AND POWER COMPANY,Southampton
944,157,Sierra Pacific Power Company d/b/a NV Energy,TRACY 3
945,195,Wisconsin Public Service Corporation,Edgewater 4
946,134,PacifiCorp,Camas Co-Gen
947,79,Kansas City Power & Light Company,West Gardner
948,186,VIRGINIA ELECTRIC AND POWER COMPANY,Rosemary
949,45,"Duke Energy Carolinas, LLC",Belews Creek
950,210,MidAmerican Energy Company,Sycamore
951,45,"Duke Energy Carolinas, LLC",Cliffside
952,230,"Hermiston Generating Company, L.P.",Hermiston Generating
953,210,MidAmerican Energy Company,Walter Scott #3
954,80,Kansas Gas and Electric Company,La Cygne #1 (50%)
955,148,Public Service Company of Oklahoma,Southwestern  4 & 5
956,182,KCP&L Greater Missouri Operations Company,Nevada
957,182,KCP&L Greater Missouri Operations Company,Greenwood
958,42,The Dayton Power and Light Company,O.H. Hutchings
959,63,"Entergy Gulf States Louisiana, L.L.C.",Louisiana Station
960,85,National Grid Generation LLC,Southhold
961,82,Kentucky Utilities Company,Haefling
962,108,"Nevada Power Company, d/b/a NV Energy",Harry Allen 3
963,128,Ohio Valley Electric Corporation,KYGER CREEK
