Unnamed: 0.1,Unnamed: 0,record_id_eia,record_id_ferc1,signature_1,signature_2,notes
441,,2079_6_2006_plant_gen_total_10000,f1_steam_2006_12_79_1_3,AS,SW,
442,,2079_6_2007_plant_gen_total_10000,f1_steam_2007_12_79_1_3,AS,SW,
443,,2079_6_2008_plant_gen_total_10000,f1_steam_2008_12_79_1_3,AS,SW,
444,,2079_6_2009_plant_gen_total_10000,f1_steam_2009_12_79_0_3,AS,SW,
445,,2079_6_2010_plant_gen_total_10000,f1_steam_2010_12_79_0_3,AS,SW,
446,,2079_6_2011_plant_gen_total_10000,f1_steam_2011_12_79_0_3,AS,SW,
447,,2079_6_2012_plant_gen_total_10000,f1_steam_2012_12_79_0_3,AS,SW,
448,,2079_6_2013_plant_gen_total_10000,f1_steam_2013_12_79_0_3,AS,SW,
449,,2080_2_2019_plant_unit_total_10000_retired,f1_steam_2019_12_79_0_1,AS,SW,previous years reported the clump but not 2019
450,,6068_2006_plant_owned_12698,f1_steam_2006_12_182_0_3,AS,,The 172.8 cap value exists for this utility but it's split between two records and isn't the right utility (or technically the right cap value)
451,,1248_h1dg_2010_plant_gen_total_22500,f1_steam_2010_12_191_0_4,AS,SW,Steve added diesel as override 2. This makes sense b/c installation year and name!
452,,1248_h1dg_2011_plant_gen_total_22500,f1_steam_2011_12_191_0_4,AS,SW,Steve added diesel as override 2. This makes sense b/c installation year and name!
453,,1242_4_2019_plant_gen_total_10005_retired,f1_steam_2019_12_80_0_1,AS,SW,I think it's a combo of generating units 3 and 4
454,,1248_h1dg_2012_plant_gen_total_22500,f1_steam_2012_12_191_0_4,AS,SW,Steve added diesel as override 2. This makes sense b/c installation year and name!
455,,1248_h1dg_2013_plant_gen_total_22500,f1_steam_2013_12_191_1_2,AS,SW,Steve added diesel as override 2. This makes sense b/c installation year and name!
456,,1248_h1dg_2014_plant_gen_total_22500,f1_steam_2014_12_191_1_2,AS,SW,Steve added diesel as override 2. This makes sense b/c installation year and name!
457,,2079_9_2005_plant_gen_total_10000,f1_steam_2005_12_79_1_3,AS,SW,
458,,2079_9_2006_plant_gen_total_10000,f1_steam_2006_12_79_1_3,AS,SW,
459,,2079_9_2007_plant_gen_total_10000,f1_steam_2007_12_79_1_3,AS,SW,
460,,2079_9_2008_plant_gen_total_10000,f1_steam_2008_12_79_1_3,AS,SW,
461,,2079_9_2009_plant_gen_total_10000,f1_steam_2009_12_79_0_3,AS,SW,
462,,2079_9_2010_plant_gen_total_10000,f1_steam_2010_12_79_0_3,AS,SW,
463,,2079_9_2011_plant_gen_total_10000,f1_steam_2011_12_79_0_3,AS,SW,
464,,2079_9_2012_plant_gen_total_10000,f1_steam_2012_12_79_0_3,AS,SW,
465,,2079_9_2013_plant_gen_total_10000,f1_steam_2013_12_79_0_3,AS,SW,
466,,2080_3_2019_plant_unit_total_10000_retired,f1_steam_2019_12_79_0_1,AS,SW,previous years reported the clump but not 2019
469,,1402_3_2015_plant_unit_total_11241,f1_steam_2015_12_87_0_2,EB,AS,Based on net gen.
480,,1402_1_2015_plant_unit_total_11241,f1_steam_2015_12_87_0_2,EB,AS,Based on net gen.
